source,item_type,title_or_text,author,extra_1_label,extra_1_value,extra_2_label,extra_2_value,url
quotes.toscrape.com,quote,"""Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder...",Jim Henson,tags,humor,tag_count,1,https://quotes.toscrape.com/author/Jim-Henson
quotes.toscrape.com,quote,"""Today you are You, that is truer than true. There is no one alive who is Youer than You.""",Dr. Seuss,tags,"comedy, life, yourself",tag_count,3,https://quotes.toscrape.com/author/Dr-Seuss
quotes.toscrape.com,quote,"""If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them ...",Albert Einstein,tags,"children, fairy-tales",tag_count,2,https://quotes.toscrape.com/author/Albert-Einstein
quotes.toscrape.com,quote,"""It is impossible to live without failing at something, unless you live so cautiously that you might as well not have li...",J.K. Rowling,tags,,tag_count,0,https://quotes.toscrape.com/author/J-K-Rowling
quotes.toscrape.com,quote,"""Logic will get you from A to Z; imagination will get you everywhere.""",Albert Einstein,tags,imagination,tag_count,1,https://quotes.toscrape.com/author/Albert-Einstein
quotes.toscrape.com,quote,"""One good thing about music, when it hits you, you feel no pain.""",Bob Marley,tags,music,tag_count,1,https://quotes.toscrape.com/author/Bob-Marley
quotes.toscrape.com,quote,"""The more that you read, the more things you will know. The more that you learn, the more places you'll go.""",Dr. Seuss,tags,"learning, reading, seuss",tag_count,3,https://quotes.toscrape.com/author/Dr-Seuss
quotes.toscrape.com,quote,"""Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?""",J.K. Rowling,tags,dumbledore,tag_count,1,https://quotes.toscrape.com/author/J-K-Rowling
quotes.toscrape.com,quote,"""The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.""",Bob Marley,tags,friendship,tag_count,1,https://quotes.toscrape.com/author/Bob-Marley
quotes.toscrape.com,quote,"""Not all of us can do great things. But we can do small things with great love.""",Mother Teresa,tags,"misattributed-to-mother-teresa, paraphrased",tag_count,2,https://quotes.toscrape.com/author/Mother-Teresa
quotes.toscrape.com,quote,"""To the well-organized mind, death is but the next great adventure.""",J.K. Rowling,tags,"death, inspirational",tag_count,2,https://quotes.toscrape.com/author/J-K-Rowling
quotes.toscrape.com,quote,"""All you need is love. But a little chocolate now and then doesn't hurt.""",Charles M. Schulz,tags,"chocolate, food, humor",tag_count,3,https://quotes.toscrape.com/author/Charles-M-Schulz
quotes.toscrape.com,quote,"""We read to know we're not alone.""",William Nicholson,tags,"misattributed-to-c-s-lewis, reading",tag_count,2,https://quotes.toscrape.com/author/William-Nicholson
quotes.toscrape.com,quote,"""Any fool can know. The point is to understand.""",Albert Einstein,tags,"knowledge, learning, understanding, wisdom",tag_count,4,https://quotes.toscrape.com/author/Albert-Einstein
quotes.toscrape.com,quote,"""I have always imagined that Paradise will be a kind of library.""",Jorge Luis Borges,tags,"books, library",tag_count,2,https://quotes.toscrape.com/author/Jorge-Luis-Borges
quotes.toscrape.com,quote,"""It is never too late to be what you might have been.""",George Eliot,tags,inspirational,tag_count,1,https://quotes.toscrape.com/author/George-Eliot
quotes.toscrape.com,quote,"""A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.""",George R.R. Martin,tags,"read, readers, reading, reading-books",tag_count,4,https://quotes.toscrape.com/author/George-R-R-Martin
quotes.toscrape.com,quote,"""You can never get a cup of tea large enough or a book long enough to suit me.""",C.S. Lewis,tags,"books, inspirational, reading, tea",tag_count,4,https://quotes.toscrape.com/author/C-S-Lewis
quotes.toscrape.com,quote,"""You believe lies so you eventually learn to trust no one but yourself.""",Marilyn Monroe,tags,,tag_count,0,https://quotes.toscrape.com/author/Marilyn-Monroe
quotes.toscrape.com,quote,"""If you can make a woman laugh, you can make her do anything.""",Marilyn Monroe,tags,"girls, love",tag_count,2,https://quotes.toscrape.com/author/Marilyn-Monroe
quotes.toscrape.com,quote,"""Life is like riding a bicycle. To keep your balance, you must keep moving.""",Albert Einstein,tags,"life, simile",tag_count,2,https://quotes.toscrape.com/author/Albert-Einstein
quotes.toscrape.com,quote,"""The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into sp...",Marilyn Monroe,tags,love,tag_count,1,https://quotes.toscrape.com/author/Marilyn-Monroe
quotes.toscrape.com,quote,"""A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.""",Marilyn Monroe,tags,attributed-no-source,tag_count,1,https://quotes.toscrape.com/author/Marilyn-Monroe
quotes.toscrape.com,quote,"""Only in the darkness can you see the stars.""",Martin Luther King Jr.,tags,"hope, inspirational",tag_count,2,https://quotes.toscrape.com/author/Martin-Luther-King-Jr
quotes.toscrape.com,quote,"""It matters not what someone is born, but what they grow to be.""",J.K. Rowling,tags,dumbledore,tag_count,1,https://quotes.toscrape.com/author/J-K-Rowling
quotes.toscrape.com,quote,"""Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.""",James Baldwin,tags,love,tag_count,1,https://quotes.toscrape.com/author/James-Baldwin
quotes.toscrape.com,quote,"""There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is...",Jane Austen,tags,"friendship, love",tag_count,2,https://quotes.toscrape.com/author/Jane-Austen
quotes.toscrape.com,quote,"""Do one thing every day that scares you.""",Eleanor Roosevelt,tags,"attributed, fear, inspiration",tag_count,3,https://quotes.toscrape.com/author/Eleanor-Roosevelt
quotes.toscrape.com,quote,"""I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find som...",Marilyn Monroe,tags,attributed-no-source,tag_count,1,https://quotes.toscrape.com/author/Marilyn-Monroe
quotes.toscrape.com,quote,"""If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see ...",Albert Einstein,tags,music,tag_count,1,https://quotes.toscrape.com/author/Albert-Einstein
quotes.toscrape.com,quote,"""If you only read the books that everyone else is reading, you can only think what everyone else is thinking.""",Haruki Murakami,tags,"books, thought",tag_count,2,https://quotes.toscrape.com/author/Haruki-Murakami
quotes.toscrape.com,quote,"""The difference between genius and stupidity is: genius has its limits.""",Alexandre Dumas fils,tags,misattributed-to-einstein,tag_count,1,https://quotes.toscrape.com/author/Alexandre-Dumas-fils
quotes.toscrape.com,quote,"""He's like a drug for you, Bella.""",Stephenie Meyer,tags,"drug, romance, simile",tag_count,3,https://quotes.toscrape.com/author/Stephenie-Meyer
quotes.toscrape.com,quote,"""There is no friend as loyal as a book.""",Ernest Hemingway,tags,"books, friends, novelist-quotes",tag_count,3,https://quotes.toscrape.com/author/Ernest-Hemingway
quotes.toscrape.com,quote,"""When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the o...",Helen Keller,tags,inspirational,tag_count,1,https://quotes.toscrape.com/author/Helen-Keller
quotes.toscrape.com,quote,"""Life isn't about finding yourself. Life is about creating yourself.""",George Bernard Shaw,tags,"inspirational, life, yourself",tag_count,3,https://quotes.toscrape.com/author/George-Bernard-Shaw
quotes.toscrape.com,quote,"""That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attem...",Charles Bukowski,tags,alcohol,tag_count,1,https://quotes.toscrape.com/author/Charles-Bukowski
quotes.toscrape.com,quote,"""You don't forget the face of the person who was your last hope.""",Suzanne Collins,tags,the-hunger-games,tag_count,1,https://quotes.toscrape.com/author/Suzanne-Collins
quotes.toscrape.com,quote,"""Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.""",Suzanne Collins,tags,humor,tag_count,1,https://quotes.toscrape.com/author/Suzanne-Collins
quotes.toscrape.com,quote,"""To love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make...",C.S. Lewis,tags,love,tag_count,1,https://quotes.toscrape.com/author/C-S-Lewis
quotes.toscrape.com,quote,"""Not all those who wander are lost.""",J.R.R. Tolkien,tags,"bilbo, journey, lost, quest, travel, wander",tag_count,6,https://quotes.toscrape.com/author/J-R-R-Tolkien
quotes.toscrape.com,quote,"""Do not pity the dead, Harry. Pity the living, and, above all those who live without love.""",J.K. Rowling,tags,live-death-love,tag_count,1,https://quotes.toscrape.com/author/J-K-Rowling
quotes.toscrape.com,quote,"""There is nothing to writing. All you do is sit down at a typewriter and bleed.""",Ernest Hemingway,tags,"good, writing",tag_count,2,https://quotes.toscrape.com/author/Ernest-Hemingway
quotes.toscrape.com,quote,"""Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; for...",Ralph Waldo Emerson,tags,"life, regrets",tag_count,2,https://quotes.toscrape.com/author/Ralph-Waldo-Emerson
quotes.toscrape.com,quote,"""I have never let my schooling interfere with my education.""",Mark Twain,tags,education,tag_count,1,https://quotes.toscrape.com/author/Mark-Twain
quotes.toscrape.com,quote,"""I have heard there are troubles of more than one kind. Some come from ahead and some come from behind. But I've bought ...",Dr. Seuss,tags,troubles,tag_count,1,https://quotes.toscrape.com/author/Dr-Seuss
quotes.toscrape.com,quote,"""If I had a flower for every time I thought of you...I could walk through my garden forever.""",Alfred Tennyson,tags,"friendship, love",tag_count,2,https://quotes.toscrape.com/author/Alfred-Tennyson
quotes.toscrape.com,quote,"""Some people never go crazy. What truly horrible lives they must lead.""",Charles Bukowski,tags,humor,tag_count,1,https://quotes.toscrape.com/author/Charles-Bukowski
quotes.toscrape.com,quote,"""The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in...",Terry Pratchett,tags,"humor, open-mind, thinking",tag_count,3,https://quotes.toscrape.com/author/Terry-Pratchett
quotes.toscrape.com,quote,"""Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!""",Dr. Seuss,tags,"humor, philosophy",tag_count,2,https://quotes.toscrape.com/author/Dr-Seuss
quotes.toscrape.com,quote,"""What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terr...",J.D. Salinger,tags,"authors, books, literature, reading, writing",tag_count,5,https://quotes.toscrape.com/author/J-D-Salinger
quotes.toscrape.com,quote,"""The reason I talk to myself is because I'm the only one whose answers I accept.""",George Carlin,tags,"humor, insanity, lies, lying, self-indulgence, truth",tag_count,6,https://quotes.toscrape.com/author/George-Carlin
quotes.toscrape.com,quote,"""You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.""",John Lennon,tags,"beatles, connection, dreamers, dreaming, dreams, hope, inspirational, peace",tag_count,8,https://quotes.toscrape.com/author/John-Lennon
quotes.toscrape.com,quote,"""I am free of all prejudice. I hate everyone equally. """,W.C. Fields,tags,"humor, sinister",tag_count,2,https://quotes.toscrape.com/author/W-C-Fields
quotes.toscrape.com,quote,"""The question isn't who is going to let me; it's who is going to stop me.""",Ayn Rand,tags,,tag_count,0,https://quotes.toscrape.com/author/Ayn-Rand
quotes.toscrape.com,quote,"""′Classic′ - a book which people praise and don't read.""",Mark Twain,tags,"books, classic, reading",tag_count,3,https://quotes.toscrape.com/author/Mark-Twain
quotes.toscrape.com,quote,"""Anyone who has never made a mistake has never tried anything new.""",Albert Einstein,tags,mistakes,tag_count,1,https://quotes.toscrape.com/author/Albert-Einstein
quotes.toscrape.com,quote,"""A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.""",Jane Austen,tags,"humor, love, romantic, women",tag_count,4,https://quotes.toscrape.com/author/Jane-Austen
quotes.toscrape.com,quote,"""Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what ...",J.K. Rowling,tags,integrity,tag_count,1,https://quotes.toscrape.com/author/J-K-Rowling
quotes.toscrape.com,quote,"""I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When ...",Jane Austen,tags,"books, library, reading",tag_count,3,https://quotes.toscrape.com/author/Jane-Austen
quotes.toscrape.com,quote,"""There are few people whom I really love, and still fewer of whom I think well. The more I see of the world, the more am...",Jane Austen,tags,"elizabeth-bennet, jane-austen",tag_count,2,https://quotes.toscrape.com/author/Jane-Austen
quotes.toscrape.com,quote,"""Some day you will be old enough to start reading fairy tales again.""",C.S. Lewis,tags,"age, fairytales, growing-up",tag_count,3,https://quotes.toscrape.com/author/C-S-Lewis
quotes.toscrape.com,quote,"""We are not necessarily doubting that God will do the best for us; we are wondering how painful the best will turn out t...",C.S. Lewis,tags,god,tag_count,1,https://quotes.toscrape.com/author/C-S-Lewis
quotes.toscrape.com,quote,"""The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.""",Mark Twain,tags,"death, life",tag_count,2,https://quotes.toscrape.com/author/Mark-Twain
quotes.toscrape.com,quote,"""A lie can travel half way around the world while the truth is putting on its shoes.""",Mark Twain,tags,"misattributed-mark-twain, truth",tag_count,2,https://quotes.toscrape.com/author/Mark-Twain
quotes.toscrape.com,quote,"""I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see every...",C.S. Lewis,tags,"christianity, faith, religion, sun",tag_count,4,https://quotes.toscrape.com/author/C-S-Lewis
quotes.toscrape.com,quote,"""The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great cautio...",J.K. Rowling,tags,truth,tag_count,1,https://quotes.toscrape.com/author/J-K-Rowling
quotes.toscrape.com,quote,"""I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.""",Jimi Hendrix,tags,"death, life",tag_count,2,https://quotes.toscrape.com/author/Jimi-Hendrix
quotes.toscrape.com,quote,"""To die will be an awfully big adventure.""",J.M. Barrie,tags,"adventure, love",tag_count,2,https://quotes.toscrape.com/author/J-M-Barrie
quotes.toscrape.com,quote,"""It takes courage to grow up and become who you really are.""",E.E. Cummings,tags,courage,tag_count,1,https://quotes.toscrape.com/author/E-E-Cummings
quotes.toscrape.com,quote,"""But better to get hurt by the truth than comforted with a lie.""",Khaled Hosseini,tags,life,tag_count,1,https://quotes.toscrape.com/author/Khaled-Hosseini
quotes.toscrape.com,quote,"""You never really understand a person until you consider things from his point of view... Until you climb inside of his ...",Harper Lee,tags,better-life-empathy,tag_count,1,https://quotes.toscrape.com/author/Harper-Lee
quotes.toscrape.com,quote,"""You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you writ...",Madeleine L'Engle,tags,"books, children, difficult, grown-ups, write, writers, writing",tag_count,7,https://quotes.toscrape.com/author/Madeleine-LEngle
quotes.toscrape.com,quote,"""Never tell the truth to people who are not worthy of it.""",Mark Twain,tags,truth,tag_count,1,https://quotes.toscrape.com/author/Mark-Twain
quotes.toscrape.com,quote,"""A person's a person, no matter how small.""",Dr. Seuss,tags,inspirational,tag_count,1,https://quotes.toscrape.com/author/Dr-Seuss
quotes.toscrape.com,quote,"""... a mind needs books as a sword needs a whetstone, if it is to keep its edge.""",George R.R. Martin,tags,"books, mind",tag_count,2,https://quotes.toscrape.com/author/George-R-R-Martin
books.toscrape.com,book,A Light in the Attic,N/A,price_gbp,51.77,rating_stars,3,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
books.toscrape.com,book,Tipping the Velvet,N/A,price_gbp,53.74,rating_stars,1,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html
books.toscrape.com,book,Soumission,N/A,price_gbp,50.1,rating_stars,1,https://books.toscrape.com/catalogue/soumission_998/index.html
books.toscrape.com,book,Sharp Objects,N/A,price_gbp,47.82,rating_stars,4,https://books.toscrape.com/catalogue/sharp-objects_997/index.html
books.toscrape.com,book,Sapiens: A Brief History of Humankind,N/A,price_gbp,54.23,rating_stars,5,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html
books.toscrape.com,book,The Requiem Red,N/A,price_gbp,22.65,rating_stars,1,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html
books.toscrape.com,book,The Dirty Little Secrets of Getting Your Dream Job,N/A,price_gbp,33.34,rating_stars,4,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
books.toscrape.com,book,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",N/A,price_gbp,17.93,rating_stars,3,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
books.toscrape.com,book,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,N/A,price_gbp,22.6,rating_stars,4,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
books.toscrape.com,book,The Black Maria,N/A,price_gbp,52.15,rating_stars,1,https://books.toscrape.com/catalogue/the-black-maria_991/index.html
books.toscrape.com,book,"Starving Hearts (Triangular Trade Trilogy, #1)",N/A,price_gbp,13.99,rating_stars,2,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html
books.toscrape.com,book,Shakespeare's Sonnets,N/A,price_gbp,20.66,rating_stars,4,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html
books.toscrape.com,book,Set Me Free,N/A,price_gbp,17.46,rating_stars,5,https://books.toscrape.com/catalogue/set-me-free_988/index.html
books.toscrape.com,book,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),N/A,price_gbp,52.29,rating_stars,5,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
books.toscrape.com,book,Rip it Up and Start Again,N/A,price_gbp,35.02,rating_stars,5,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html
books.toscrape.com,book,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",N/A,price_gbp,57.25,rating_stars,3,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html
books.toscrape.com,book,Olio,N/A,price_gbp,23.88,rating_stars,1,https://books.toscrape.com/catalogue/olio_984/index.html
books.toscrape.com,book,Mesaerion: The Best Science Fiction Stories 1800-1849,N/A,price_gbp,37.59,rating_stars,1,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
books.toscrape.com,book,Libertarianism for Beginners,N/A,price_gbp,51.33,rating_stars,2,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html
books.toscrape.com,book,It's Only the Himalayas,N/A,price_gbp,45.17,rating_stars,2,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html
books.toscrape.com,book,In Her Wake,N/A,price_gbp,12.84,rating_stars,1,https://books.toscrape.com/catalogue/in-her-wake_980/index.html
books.toscrape.com,book,How Music Works,N/A,price_gbp,37.32,rating_stars,2,https://books.toscrape.com/catalogue/how-music-works_979/index.html
books.toscrape.com,book,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",N/A,price_gbp,30.52,rating_stars,3,https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html
books.toscrape.com,book,Chase Me (Paris Nights #2),N/A,price_gbp,25.27,rating_stars,5,https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html
books.toscrape.com,book,Black Dust,N/A,price_gbp,34.53,rating_stars,5,https://books.toscrape.com/catalogue/black-dust_976/index.html
books.toscrape.com,book,Birdsong: A Story in Pictures,N/A,price_gbp,54.64,rating_stars,3,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html
books.toscrape.com,book,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,N/A,price_gbp,22.5,rating_stars,3,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html
books.toscrape.com,book,Aladdin and His Wonderful Lamp,N/A,price_gbp,53.13,rating_stars,3,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html
books.toscrape.com,book,Worlds Elsewhere: Journeys Around Shakespeare's Globe,N/A,price_gbp,40.3,rating_stars,5,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html
books.toscrape.com,book,Wall and Piece,N/A,price_gbp,44.18,rating_stars,4,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html
books.toscrape.com,book,The Four Agreements: A Practical Guide to Personal Freedom,N/A,price_gbp,17.66,rating_stars,5,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html
books.toscrape.com,book,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,N/A,price_gbp,31.05,rating_stars,3,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html
books.toscrape.com,book,The Elephant Tree,N/A,price_gbp,23.82,rating_stars,5,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html
books.toscrape.com,book,The Bear and the Piano,N/A,price_gbp,36.89,rating_stars,1,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html
books.toscrape.com,book,Sophie's World,N/A,price_gbp,15.94,rating_stars,5,https://books.toscrape.com/catalogue/sophies-world_966/index.html
books.toscrape.com,book,Penny Maybe,N/A,price_gbp,33.29,rating_stars,3,https://books.toscrape.com/catalogue/penny-maybe_965/index.html
books.toscrape.com,book,Maude (1883-1993):She Grew Up with the country,N/A,price_gbp,18.02,rating_stars,2,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html
books.toscrape.com,book,"In a Dark, Dark Wood",N/A,price_gbp,19.63,rating_stars,1,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html
books.toscrape.com,book,Behind Closed Doors,N/A,price_gbp,52.22,rating_stars,4,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html
books.toscrape.com,book,You can't bury them all: Poems,N/A,price_gbp,33.63,rating_stars,2,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html
books.toscrape.com,book,Slow States of Collapse: Poems,N/A,price_gbp,57.31,rating_stars,3,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html
books.toscrape.com,book,Reasons to Stay Alive,N/A,price_gbp,26.41,rating_stars,2,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html
books.toscrape.com,book,Private Paris (Private #10),N/A,price_gbp,47.61,rating_stars,5,https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html
books.toscrape.com,book,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,N/A,price_gbp,23.11,rating_stars,5,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html
books.toscrape.com,book,Without Borders (Wanderlove #1),N/A,price_gbp,45.07,rating_stars,2,https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html
books.toscrape.com,book,When We Collided,N/A,price_gbp,31.77,rating_stars,1,https://books.toscrape.com/catalogue/when-we-collided_955/index.html
